relpath,is_black,mean_luma,std_luma
himawari_20260130T210000Z.png,0,21.198,34.706
himawari_20260130T211000Z.png,0,22.196,35.160
himawari_20260130T212000Z.png,0,23.250,35.649
himawari_20260130T213000Z.png,0,24.359,36.166
himawari_20260130T214000Z.png,0,25.525,36.725
himawari_20260130T215000Z.png,0,26.743,37.309
himawari_20260130T220000Z.png,0,28.002,37.900
himawari_20260130T221000Z.png,0,29.308,38.502
himawari_20260130T222000Z.png,0,30.672,39.121
himawari_20260130T223000Z.png,0,32.102,39.756
himawari_20260130T224000Z.png,0,33.592,40.397
himawari_20260130T225000Z.png,0,35.157,41.055
himawari_20260130T230000Z.png,0,36.781,41.729
himawari_20260130T231000Z.png,0,38.447,42.404
himawari_20260130T232000Z.png,0,40.147,43.067
himawari_20260130T233000Z.png,0,41.859,43.691
himawari_20260130T234000Z.png,0,43.590,44.288
himawari_20260130T235000Z.png,0,45.405,44.909
himawari_20260131T000000Z.png,0,47.384,45.635
himawari_20260131T001000Z.png,0,49.531,46.550
himawari_20260131T002000Z.png,0,51.686,47.573
himawari_20260131T003000Z.png,0,53.656,48.442
himawari_20260131T004000Z.png,0,55.375,49.047
himawari_20260131T005000Z.png,0,56.833,49.446
himawari_20260131T010000Z.png,0,58.061,49.696
himawari_20260131T011000Z.png,0,59.205,49.921
himawari_20260131T012000Z.png,0,60.341,50.170
himawari_20260131T013000Z.png,0,61.439,50.432
himawari_20260131T014000Z.png,0,62.452,50.681
himawari_20260131T015000Z.png,0,63.366,50.908
himawari_20260131T020000Z.png,0,64.163,51.101
himawari_20260131T021000Z.png,0,64.831,51.255
himawari_20260131T022000Z.png,0,65.360,51.366
himawari_20260131T023000Z.png,0,65.729,51.431
himawari_20260131T024000Z.png,1,0.552,4.053
himawari_20260131T025000Z.png,0,65.995,51.434
himawari_20260131T030000Z.png,0,65.896,51.371
himawari_20260131T031000Z.png,0,65.640,51.274
himawari_20260131T032000Z.png,0,65.227,51.143
himawari_20260131T033000Z.png,0,64.675,50.984
himawari_20260131T034000Z.png,0,63.968,50.789
himawari_20260131T035000Z.png,0,63.125,50.570
himawari_20260131T040000Z.png,0,62.191,50.361
himawari_20260131T041000Z.png,0,61.207,50.221
himawari_20260131T042000Z.png,0,60.227,50.167
himawari_20260131T043000Z.png,0,59.146,50.050
himawari_20260131T044000Z.png,0,57.748,49.662
himawari_20260131T045000Z.png,1,0.552,4.053
